,D,I1,I2,I3,q1,q2,q3,O1,O2,O3,O4,O5,O6,O7,FX,FY,FZ,E1,E2,E3,I4,I5
186,216,1.976214,9.67787,19,0.004334,0.00013,0.000113,-95,23.164873,76.14196,76.400424,-42.230784,-20.052623,3.376684,-0.252695,-0.046124,0.309392,0.007181,0.013029,0.009472,/home/martin/data/v2/filtered/216_r_img_blc.ppm,/home/martin/data/v2/filtered/216_l_img_blc.ppm
187,217,9.624108,-24.636758,19,0.004334,0.00013,0.000113,-95,23.164873,76.14196,76.400424,-42.230784,-20.052623,3.376684,-0.252695,-0.046124,0.309392,0.007181,0.013029,0.009472,/home/martin/data/v2/filtered/217_r_img_blc.ppm,/home/martin/data/v2/filtered/217_l_img_blc.ppm
188,218,-16.806463,-10.767302,19,0.004334,0.00013,0.000113,-95,23.164873,76.14196,76.400424,-42.230784,-20.052623,3.376684,-0.252695,-0.046124,0.309392,0.007181,0.013029,0.009472,/home/martin/data/v2/filtered/218_r_img_blc.ppm,/home/martin/data/v2/filtered/218_l_img_blc.ppm
189,219,-13.31228,-20.638078,19,0.004334,0.00013,0.000113,-95,23.164873,76.14196,76.400424,-42.230784,-20.052623,3.376684,-0.252695,-0.046124,0.309392,0.007181,0.013029,0.009472,/home/martin/data/v2/filtered/219_r_img_blc.ppm,/home/martin/data/v2/filtered/219_l_img_blc.ppm
190,220,-2.95652,27.583164,19,0.004334,0.00013,0.000113,-75.152607,25.356357,24.861241,86.812944,-1.29278,0,-8.503305,-0.231953,0.076913,0.331219,0.000008,0.000007,0.000015,/home/martin/data/v2/filtered/220_r_img_blc.ppm,/home/martin/data/v2/filtered/220_l_img_blc.ppm
191,221,3.502624,9.981101,19,0.004334,0.00013,0.000113,-75.152607,25.356357,24.861241,86.812944,-1.29278,0,-8.503305,-0.231953,0.076913,0.331219,0.000008,0.000007,0.000015,/home/martin/data/v2/filtered/221_r_img_blc.ppm,/home/martin/data/v2/filtered/221_l_img_blc.ppm
192,222,-10.51691,26.216251,19,0.004334,0.00013,0.000113,-75.152607,25.356357,24.861241,86.812944,-1.29278,0,-8.503305,-0.231953,0.076913,0.331219,0.000008,0.000007,0.000015,/home/martin/data/v2/filtered/222_r_img_blc.ppm,/home/martin/data/v2/filtered/222_l_img_blc.ppm
193,223,-10.878236,-6.096301,19,0.004334,0.00013,0.000113,-75.152607,25.356357,24.861241,86.812944,-1.29278,0,-8.503305,-0.231953,0.076913,0.331219,0.000008,0.000007,0.000015,/home/martin/data/v2/filtered/223_r_img_blc.ppm,/home/martin/data/v2/filtered/223_l_img_blc.ppm
194,224,0.736039,23.014081,19,0.004334,0.00013,0.000113,-84.865571,24.32798,48.925262,73.643716,-0.01907,0,-1.717129,-0.262367,0.017627,0.311452,0.000003,0.000006,0.000004,/home/martin/data/v2/filtered/224_r_img_blc.ppm,/home/martin/data/v2/filtered/224_l_img_blc.ppm
195,225,-0.970712,0.241213,19,0.004334,0.00013,0.000113,-84.865571,24.32798,48.925262,73.643716,-0.01907,0,-1.717129,-0.262367,0.017627,0.311452,0.000003,0.000006,0.000004,/home/martin/data/v2/filtered/225_r_img_blc.ppm,/home/martin/data/v2/filtered/225_l_img_blc.ppm
196,226,-18.95865,15.492118,19,0.004334,0.00013,0.000113,-84.865571,24.32798,48.925262,73.643716,-0.01907,0,-1.717129,-0.262367,0.017627,0.311452,0.000003,0.000006,0.000004,/home/martin/data/v2/filtered/226_r_img_blc.ppm,/home/martin/data/v2/filtered/226_l_img_blc.ppm
197,227,-9.015704,-14.114699,19,0.004334,0.00013,0.000113,-84.865571,24.32798,48.925262,73.643716,-0.01907,0,-1.717129,-0.262367,0.017627,0.311452,0.000003,0.000006,0.000004,/home/martin/data/v2/filtered/227_r_img_blc.ppm,/home/martin/data/v2/filtered/227_l_img_blc.ppm
198,228,5.027275,29.173668,19,0.004334,0.00013,0.000113,-72.742036,25.422139,23.321924,89.146858,-2.003025,-0.128772,-9.385813,-0.228969,0.079268,0.326642,0,0.000002,0.000002,/home/martin/data/v2/filtered/228_r_img_blc.ppm,/home/martin/data/v2/filtered/228_l_img_blc.ppm
199,229,-0.924328,8.634536,19,0.004334,0.00013,0.000113,-72.742036,25.422139,23.321924,89.146858,-2.003025,-0.128772,-9.385813,-0.228969,0.079268,0.326642,0,0.000002,0.000002,/home/martin/data/v2/filtered/229_r_img_blc.ppm,/home/martin/data/v2/filtered/229_l_img_blc.ppm
200,230,-13.351997,29.060288,19,0.004334,0.00013,0.000113,-72.742036,25.422139,23.321924,89.146858,-2.003025,-0.128772,-9.385813,-0.228969,0.079268,0.326642,0,0.000002,0.000002,/home/martin/data/v2/filtered/230_r_img_blc.ppm,/home/martin/data/v2/filtered/230_l_img_blc.ppm
201,232,6.619531,18.551608,19,0.004334,0.00013,0.000113,-95,23.908992,58.729584,70.919187,-8.381947,-16.859916,6.135831,-0.265055,0.004894,0.359266,0.010316,0.011646,0.016336,/home/martin/data/v2/filtered/232_r_img_blc.ppm,/home/martin/data/v2/filtered/232_l_img_blc.ppm
202,233,6.086692,-13.719885,19,0.004334,0.00013,0.000113,-95,23.908992,58.729584,70.919187,-8.381947,-16.859916,6.135831,-0.265055,0.004894,0.359266,0.010316,0.011646,0.016336,/home/martin/data/v2/filtered/233_r_img_blc.ppm,/home/martin/data/v2/filtered/233_l_img_blc.ppm
203,234,-16.880063,17.215457,19,0.004334,0.00013,0.000113,-95,23.908992,58.729584,70.919187,-8.381947,-16.859916,6.135831,-0.265055,0.004894,0.359266,0.010316,0.011646,0.016336,/home/martin/data/v2/filtered/234_r_img_blc.ppm,/home/martin/data/v2/filtered/234_l_img_blc.ppm
204,235,-4.091277,-13.209969,19,0.004334,0.00013,0.000113,-95,23.908992,58.729584,70.919187,-8.381947,-16.859916,6.135831,-0.265055,0.004894,0.359266,0.010316,0.011646,0.016336,/home/martin/data/v2/filtered/235_r_img_blc.ppm,/home/martin/data/v2/filtered/235_l_img_blc.ppm
205,237,-8.303452,-16.194444,19,0.004334,0.00013,0.000113,-95,23.066281,78.449013,77.877924,-35.455636,-19.683722,4.009053,-0.247936,-0.052122,0.301436,0.006248,0.012393,0.00818,/home/martin/data/v2/filtered/237_r_img_blc.ppm,/home/martin/data/v2/filtered/237_l_img_blc.ppm
206,239,-17.996769,-24.357251,19,0.004334,0.00013,0.000113,-95,23.066281,78.449013,77.877924,-35.455636,-19.683722,4.009053,-0.247936,-0.052122,0.301436,0.006248,0.012393,0.00818,/home/martin/data/v2/filtered/239_r_img_blc.ppm,/home/martin/data/v2/filtered/239_l_img_blc.ppm
207,241,1.888372,-20.462997,19,0.004334,-0.00013,-0.000113,-95,23.035851,79.161079,80.520958,-74.719096,-20.918743,-0.369354,-0.241194,-0.062585,0.30287,0.007812,0.017872,0.011284,/home/martin/data/v2/filtered/241_r_img_blc.ppm,/home/martin/data/v2/filtered/241_l_img_blc.ppm
208,242,-13.097547,12.353336,19,0.004334,-0.00013,-0.000113,-95,23.035851,79.161079,80.520958,-74.719096,-20.918743,-0.369354,-0.241194,-0.062585,0.30287,0.007812,0.017872,0.011284,/home/martin/data/v2/filtered/242_r_img_blc.ppm,/home/martin/data/v2/filtered/242_l_img_blc.ppm
209,243,-15.98165,-21.438582,19,0.004334,-0.00013,-0.000113,-95,23.035851,79.161079,80.520958,-74.719096,-20.918743,-0.369354,-0.241194,-0.062585,0.30287,0.007812,0.017872,0.011284,/home/martin/data/v2/filtered/243_r_img_blc.ppm,/home/martin/data/v2/filtered/243_l_img_blc.ppm
210,244,3.501258,-4.285116,19,0.004334,-0.00013,-0.000113,-95,23.417435,70.231996,77.327087,-84.977485,-20.736146,-1.350541,-0.254443,-0.047775,0.340893,0.01439,0.025994,0.023224,/home/martin/data/v2/filtered/244_r_img_blc.ppm,/home/martin/data/v2/filtered/244_l_img_blc.ppm
211,245,4.534683,-16.394313,19,0.004334,-0.00013,-0.000113,-95,23.417435,70.231996,77.327087,-84.977485,-20.736146,-1.350541,-0.254443,-0.047775,0.340893,0.01439,0.025994,0.023224,/home/martin/data/v2/filtered/245_r_img_blc.ppm,/home/martin/data/v2/filtered/245_l_img_blc.ppm
212,247,0.039901,-14.264654,19,0.004334,-0.00013,-0.000113,-95,23.417435,70.231996,77.327087,-84.977485,-20.736146,-1.350541,-0.254443,-0.047775,0.340893,0.01439,0.025994,0.023224,/home/martin/data/v2/filtered/247_r_img_blc.ppm,/home/martin/data/v2/filtered/247_l_img_blc.ppm
213,248,1.516277,25.091951,19,0.004334,-0.00013,-0.000113,-74.911589,25.242405,27.527704,85.147011,-1.065127,0,-7.735022,-0.239669,0.068495,0.32457,0.000001,0.000005,0.000004,/home/martin/data/v2/filtered/248_r_img_blc.ppm,/home/martin/data/v2/filtered/248_l_img_blc.ppm
214,250,-19.460461,22.708417,19,0.004334,-0.00013,-0.000113,-74.911589,25.242405,27.527704,85.147011,-1.065127,0,-7.735022,-0.239669,0.068495,0.32457,0.000001,0.000005,0.000004,/home/martin/data/v2/filtered/250_r_img_blc.ppm,/home/martin/data/v2/filtered/250_l_img_blc.ppm
215,252,9.861367,15.669552,20,0.004334,0.00013,0.000113,-95,23.619627,65.500717,79.193403,88.338068,-8.185724,1.992333,-0.246173,-0.040221,0.359984,0.01437,0.027355,0.028459,/home/martin/data/v2/filtered/252_r_img_blc.ppm,/home/martin/data/v2/filtered/252_l_img_blc.ppm
216,253,7.348358,-19.448017,20,0.004334,0.00013,0.000113,-95,23.619627,65.500717,79.193403,88.338068,-8.185724,1.992333,-0.246173,-0.040221,0.359984,0.01437,0.027355,0.028459,/home/martin/data/v2/filtered/253_r_img_blc.ppm,/home/martin/data/v2/filtered/253_l_img_blc.ppm
217,255,0.307848,-14.742117,20,0.004334,0.00013,0.000113,-95,23.619627,65.500717,79.193403,88.338068,-8.185724,1.992333,-0.246173,-0.040221,0.359984,0.01437,0.027355,0.028459,/home/martin/data/v2/filtered/255_r_img_blc.ppm,/home/martin/data/v2/filtered/255_l_img_blc.ppm
218,257,6.24506,-28.395382,20,0.004334,0.00013,0.000113,-95,23.051273,78.800204,87.310371,-70.741085,-20.937347,0.069164,-0.217289,-0.07565,0.307953,0.006735,0.023831,0.014647,/home/martin/data/v2/filtered/257_r_img_blc.ppm,/home/martin/data/v2/filtered/257_l_img_blc.ppm
219,259,-19.672029,-28.773682,20,0.004334,0.00013,0.000113,-95,23.051273,78.800204,87.310371,-70.741085,-20.937347,0.069164,-0.217289,-0.07565,0.307953,0.006735,0.023831,0.014647,/home/martin/data/v2/filtered/259_r_img_blc.ppm,/home/martin/data/v2/filtered/259_l_img_blc.ppm
220,260,8.876344,13.242115,20,0.004334,-0.00013,-0.000113,-95,24.219347,51.467276,72.433335,-2.194802,-15.997138,6.378396,-0.24872,0.032454,0.364396,0.00256,0.002678,0.004891,/home/martin/data/v2/filtered/260_r_img_blc.ppm,/home/martin/data/v2/filtered/260_l_img_blc.ppm
221,261,9.440156,-6.182864,20,0.004334,-0.00013,-0.000113,-95,24.219347,51.467276,72.433335,-2.194802,-15.997138,6.378396,-0.24872,0.032454,0.364396,0.00256,0.002678,0.004891,/home/martin/data/v2/filtered/261_r_img_blc.ppm,/home/martin/data/v2/filtered/261_l_img_blc.ppm
222,262,-18.231555,11.330829,20,0.004334,-0.00013,-0.000113,-95,24.219347,51.467276,72.433335,-2.194802,-15.997138,6.378396,-0.24872,0.032454,0.364396,0.00256,0.002678,0.004891,/home/martin/data/v2/filtered/262_r_img_blc.ppm,/home/martin/data/v2/filtered/262_l_img_blc.ppm
223,263,5.621214,9.057019,20,0.004334,-0.00013,-0.000113,-95,24.219347,51.467276,72.433335,-2.194802,-15.997138,6.378396,-0.24872,0.032454,0.364396,0.00256,0.002678,0.004891,/home/martin/data/v2/filtered/263_r_img_blc.ppm,/home/martin/data/v2/filtered/263_l_img_blc.ppm
224,264,7.823413,17.26043,20,0.004334,0.00013,0.000113,-95,24.125326,53.667347,71.962921,-3.276078,-16.179489,6.342641,-0.251109,0.026838,0.358806,0.002265,0.002433,0.004091,/home/martin/data/v2/filtered/264_r_img_blc.ppm,/home/martin/data/v2/filtered/264_l_img_blc.ppm
225,265,9.058614,-21.339539,20,0.004334,0.00013,0.000113,-95,24.125326,53.667347,71.962921,-3.276078,-16.179489,6.342641,-0.251109,0.026838,0.358806,0.002265,0.002433,0.004091,/home/martin/data/v2/filtered/265_r_img_blc.ppm,/home/martin/data/v2/filtered/265_l_img_blc.ppm
226,266,-14.699718,20.703317,20,0.004334,0.00013,0.000113,-95,24.125326,53.667347,71.962921,-3.276078,-16.179489,6.342641,-0.251109,0.026838,0.358806,0.002265,0.002433,0.004091,/home/martin/data/v2/filtered/266_r_img_blc.ppm,/home/martin/data/v2/filtered/266_l_img_blc.ppm
227,267,-12.341716,-21.696322,20,0.004334,0.00013,0.000113,-95,24.125326,53.667347,71.962921,-3.276078,-16.179489,6.342641,-0.251109,0.026838,0.358806,0.002265,0.002433,0.004091,/home/martin/data/v2/filtered/267_r_img_blc.ppm,/home/martin/data/v2/filtered/267_l_img_blc.ppm
228,268,6.212267,-20.03107,20,0.004334,0.00013,0.000113,-95,23.334332,72.176628,86.718476,-84.68393,-20.75196,-1.41605,-0.221241,-0.075196,0.343896,0.011442,0.037721,0.029717,/home/martin/data/v2/filtered/268_r_img_blc.ppm,/home/martin/data/v2/filtered/268_l_img_blc.ppm
229,269,8.717162,-28.336459,20,0.004334,0.00013,0.000113,-95,23.334332,72.176628,86.718476,-84.68393,-20.75196,-1.41605,-0.221241,-0.075196,0.343896,0.011442,0.037721,0.029717,/home/martin/data/v2/filtered/269_r_img_blc.ppm,/home/martin/data/v2/filtered/269_l_img_blc.ppm
230,270,-7.350867,-19.156125,20,0.004334,0.00013,0.000113,-95,23.334332,72.176628,86.718476,-84.68393,-20.75196,-1.41605,-0.221241,-0.075196,0.343896,0.011442,0.037721,0.029717,/home/martin/data/v2/filtered/270_r_img_blc.ppm,/home/martin/data/v2/filtered/270_l_img_blc.ppm
231,271,-19.686048,-27.413781,20,0.004334,0.00013,0.000113,-95,23.334332,72.176628,86.718476,-84.68393,-20.75196,-1.41605,-0.221241,-0.075196,0.343896,0.011442,0.037721,0.029717,/home/martin/data/v2/filtered/271_r_img_blc.ppm,/home/martin/data/v2/filtered/271_l_img_blc.ppm
232,272,2.21119,9.074888,20,0.004334,-0.00013,-0.000113,-83.565592,24.496397,44.984306,77.249275,-0.921093,0,-3.495809,-0.25153,0.023857,0.319267,0.000001,0.000003,0.000003,/home/martin/data/v2/filtered/272_r_img_blc.ppm,/home/martin/data/v2/filtered/272_l_img_blc.ppm
233,273,5.252207,-8.805934,20,0.004334,-0.00013,-0.000113,-83.565592,24.496397,44.984306,77.249275,-0.921093,0,-3.495809,-0.25153,0.023857,0.319267,0.000001,0.000003,0.000003,/home/martin/data/v2/filtered/273_r_img_blc.ppm,/home/martin/data/v2/filtered/273_l_img_blc.ppm
234,274,-6.600091,22.715153,20,0.004334,-0.00013,-0.000113,-83.565592,24.496397,44.984306,77.249275,-0.921093,0,-3.495809,-0.25153,0.023857,0.319267,0.000001,0.000003,0.000003,/home/martin/data/v2/filtered/274_r_img_blc.ppm,/home/martin/data/v2/filtered/274_l_img_blc.ppm
235,275,-7.691512,1.7475,20,0.004334,-0.00013,-0.000113,-83.565592,24.496397,44.984306,77.249275,-0.921093,0,-3.495809,-0.25153,0.023857,0.319267,0.000001,0.000003,0.000003,/home/martin/data/v2/filtered/275_r_img_blc.ppm,/home/martin/data/v2/filtered/275_l_img_blc.ppm
236,276,-9.111188,11.783348,20,0.004334,-0.00013,-0.000113,-95,23.225564,74.721792,77.090247,44.406993,-11.467921,6.014138,-0.24578,-0.036885,0.308761,0.003044,0.005651,0.004308,/home/martin/data/v2/filtered/276_r_img_blc.ppm,/home/martin/data/v2/filtered/276_l_img_blc.ppm
237,277,-0.24475,-18.265786,20,0.004334,-0.00013,-0.000113,-95,23.225564,74.721792,77.090247,44.406993,-11.467921,6.014138,-0.24578,-0.036885,0.308761,0.003044,0.005651,0.004308,/home/martin/data/v2/filtered/277_r_img_blc.ppm,/home/martin/data/v2/filtered/277_l_img_blc.ppm
238,278,-11.498711,18.100032,20,0.004334,-0.00013,-0.000113,-95,23.225564,74.721792,77.090247,44.406993,-11.467921,6.014138,-0.24578,-0.036885,0.308761,0.003044,0.005651,0.004308,/home/martin/data/v2/filtered/278_r_img_blc.ppm,/home/martin/data/v2/filtered/278_l_img_blc.ppm
239,279,-17.084314,-19.201465,20,0.004334,-0.00013,-0.000113,-95,23.225564,74.721792,77.090247,44.406993,-11.467921,6.014138,-0.24578,-0.036885,0.308761,0.003044,0.005651,0.004308,/home/martin/data/v2/filtered/279_r_img_blc.ppm,/home/martin/data/v2/filtered/279_l_img_blc.ppm
240,280,7.796394,13.036382,20,0.004334,0.00013,0.000113,-94.811686,24.349567,48.42012,69.443779,-0.05546,0,-0.405747,-0.250047,0.031854,0.352584,0.000005,0.000008,0.000008,/home/martin/data/v2/filtered/280_r_img_blc.ppm,/home/martin/data/v2/filtered/280_l_img_blc.ppm
241,281,5.810783,-1.227366,20,0.004334,0.00013,0.000113,-94.811686,24.349567,48.42012,69.443779,-0.05546,0,-0.405747,-0.250047,0.031854,0.352584,0.000005,0.000008,0.000008,/home/martin/data/v2/filtered/281_r_img_blc.ppm,/home/martin/data/v2/filtered/281_l_img_blc.ppm
242,282,-16.341425,25.279237,20,0.004334,0.00013,0.000113,-94.811686,24.349567,48.42012,69.443779,-0.05546,0,-0.405747,-0.250047,0.031854,0.352584,0.000005,0.000008,0.000008,/home/martin/data/v2/filtered/282_r_img_blc.ppm,/home/martin/data/v2/filtered/282_l_img_blc.ppm
243,283,-7.697779,-5.276783,20,0.004334,0.00013,0.000113,-94.811686,24.349567,48.42012,69.443779,-0.05546,0,-0.405747,-0.250047,0.031854,0.352584,0.000005,0.000008,0.000008,/home/martin/data/v2/filtered/283_r_img_blc.ppm,/home/martin/data/v2/filtered/283_l_img_blc.ppm
244,284,-16.181944,21.221083,20,0.004334,0.00013,0.000113,-75.307892,24.706133,40.076514,83.510933,-0.909856,-0.000032,-6.021825,-0.247592,0.027697,0.301509,0,0.000003,0.000002,/home/martin/data/v2/filtered/284_r_img_blc.ppm,/home/martin/data/v2/filtered/284_l_img_blc.ppm
245,285,-0.899485,0.370168,20,0.004334,0.00013,0.000113,-75.307892,24.706133,40.076514,83.510933,-0.909856,-0.000032,-6.021825,-0.247592,0.027697,0.301509,0,0.000003,0.000002,/home/martin/data/v2/filtered/285_r_img_blc.ppm,/home/martin/data/v2/filtered/285_l_img_blc.ppm
246,286,-19.691391,18.804397,20,0.004334,0.00013,0.000113,-75.307892,24.706133,40.076514,83.510933,-0.909856,-0.000032,-6.021825,-0.247592,0.027697,0.301509,0,0.000003,0.000002,/home/martin/data/v2/filtered/286_r_img_blc.ppm,/home/martin/data/v2/filtered/286_l_img_blc.ppm
247,287,-19.955603,1.176255,20,0.004334,0.00013,0.000113,-75.307892,24.706133,40.076514,83.510933,-0.909856,-0.000032,-6.021825,-0.247592,0.027697,0.301509,0,0.000003,0.000002,/home/martin/data/v2/filtered/287_r_img_blc.ppm,/home/martin/data/v2/filtered/287_l_img_blc.ppm
248,288,-10.087428,21.158542,20,0.004334,0.00013,0.000113,-92.260591,23.576348,66.513439,74.677817,-0.07484,-1.197086,0.280176,-0.248857,-0.022771,0.30124,0.000001,0.000002,0,/home/martin/data/v2/filtered/288_r_img_blc.ppm,/home/martin/data/v2/filtered/288_l_img_blc.ppm
249,289,-10.627348,-8.612196,20,0.004334,0.00013,0.000113,-92.260591,23.576348,66.513439,74.677817,-0.07484,-1.197086,0.280176,-0.248857,-0.022771,0.30124,0.000001,0.000002,0,/home/martin/data/v2/filtered/289_r_img_blc.ppm,/home/martin/data/v2/filtered/289_l_img_blc.ppm
250,290,-19.790565,23.172925,20,0.004334,0.00013,0.000113,-92.260591,23.576348,66.513439,74.677817,-0.07484,-1.197086,0.280176,-0.248857,-0.022771,0.30124,0.000001,0.000002,0,/home/martin/data/v2/filtered/290_r_img_blc.ppm,/home/martin/data/v2/filtered/290_l_img_blc.ppm
251,291,-17.446826,-10.532675,20,0.004334,0.00013,0.000113,-92.260591,23.576348,66.513439,74.677817,-0.07484,-1.197086,0.280176,-0.248857,-0.022771,0.30124,0.000001,0.000002,0,/home/martin/data/v2/filtered/291_r_img_blc.ppm,/home/martin/data/v2/filtered/291_l_img_blc.ppm
252,292,5.245692,-24.559374,20,0.004334,0.00013,0.000113,-95,23.08472,78.017561,88.443641,-22.114856,-18.714673,5.141988,-0.213621,-0.079388,0.313449,0.007238,0.028006,0.017626,/home/martin/data/v2/filtered/292_r_img_blc.ppm,/home/martin/data/v2/filtered/292_l_img_blc.ppm
253,293,-6.688843,-28.724218,20,0.004334,0.00013,0.000113,-95,23.08472,78.017561,88.443641,-22.114856,-18.714673,5.141988,-0.213621,-0.079388,0.313449,0.007238,0.028006,0.017626,/home/martin/data/v2/filtered/293_r_img_blc.ppm,/home/martin/data/v2/filtered/293_l_img_blc.ppm
254,295,-10.622899,-28.57939,20,0.004334,0.00013,0.000113,-95,23.08472,78.017561,88.443641,-22.114856,-18.714673,5.141988,-0.213621,-0.079388,0.313449,0.007238,0.028006,0.017626,/home/martin/data/v2/filtered/295_r_img_blc.ppm,/home/martin/data/v2/filtered/295_l_img_blc.ppm
255,297,-0.878848,-24.267452,20,0.004334,0.00013,0.000113,-95,23.071136,78.335394,83.808258,-32.334391,-19.496562,4.282387,-0.228361,-0.064303,0.305599,0.00618,0.017086,0.010916,/home/martin/data/v2/filtered/297_r_img_blc.ppm,/home/martin/data/v2/filtered/297_l_img_blc.ppm
256,298,-19.230544,1.710869,20,0.004334,0.00013,0.000113,-95,23.071136,78.335394,83.808258,-32.334391,-19.496562,4.282387,-0.228361,-0.064303,0.305599,0.00618,0.017086,0.010916,/home/martin/data/v2/filtered/298_r_img_blc.ppm,/home/martin/data/v2/filtered/298_l_img_blc.ppm
257,299,-19.755233,-19.212626,20,0.004334,0.00013,0.000113,-95,23.071136,78.335394,83.808258,-32.334391,-19.496562,4.282387,-0.228361,-0.064303,0.305599,0.00618,0.017086,0.010916,/home/martin/data/v2/filtered/299_r_img_blc.ppm,/home/martin/data/v2/filtered/299_l_img_blc.ppm
258,300,-4.278732,21.807507,20,0.004334,-0.00013,-0.000113,-79.873576,24.858873,36.502352,81.179586,-1.074732,0,-5.371829,-0.244515,0.044429,0.325259,0,0.000002,0.000001,/home/martin/data/v2/filtered/300_r_img_blc.ppm,/home/martin/data/v2/filtered/300_l_img_blc.ppm
259,301,7.33987,6.65055,20,0.004334,-0.00013,-0.000113,-79.873576,24.858873,36.502352,81.179586,-1.074732,0,-5.371829,-0.244515,0.044429,0.325259,0,0.000002,0.000001,/home/martin/data/v2/filtered/301_r_img_blc.ppm,/home/martin/data/v2/filtered/301_l_img_blc.ppm
260,302,-16.747953,25.093018,20,0.004334,-0.00013,-0.000113,-79.873576,24.858873,36.502352,81.179586,-1.074732,0,-5.371829,-0.244515,0.044429,0.325259,0,0.000002,0.000001,/home/martin/data/v2/filtered/302_r_img_blc.ppm,/home/martin/data/v2/filtered/302_l_img_blc.ppm
261,303,-14.833017,-5.741112,20,0.004334,-0.00013,-0.000113,-79.873576,24.858873,36.502352,81.179586,-1.074732,0,-5.371829,-0.244515,0.044429,0.325259,0,0.000002,0.000001,/home/martin/data/v2/filtered/303_r_img_blc.ppm,/home/martin/data/v2/filtered/303_l_img_blc.ppm
262,304,6.015397,20.502077,20,0.004334,-0.00013,-0.000113,-78.57645,24.480941,45.345972,80.924144,-1.172426,-0.000033,-4.600221,-0.25024,0.01559,0.300947,0.000041,0.000158,0.000113,/home/martin/data/v2/filtered/304_r_img_blc.ppm,/home/martin/data/v2/filtered/304_l_img_blc.ppm
263,305,-12.998049,-7.784679,20,0.004334,-0.00013,-0.000113,-78.57645,24.480941,45.345972,80.924144,-1.172426,-0.000033,-4.600221,-0.25024,0.01559,0.300947,0.000041,0.000158,0.000113,/home/martin/data/v2/filtered/305_r_img_blc.ppm,/home/martin/data/v2/filtered/305_l_img_blc.ppm
264,306,-18.537963,23.52629,20,0.004334,-0.00013,-0.000113,-78.57645,24.480941,45.345972,80.924144,-1.172426,-0.000033,-4.600221,-0.25024,0.01559,0.300947,0.000041,0.000158,0.000113,/home/martin/data/v2/filtered/306_r_img_blc.ppm,/home/martin/data/v2/filtered/306_l_img_blc.ppm
265,307,-19.841898,-9.998622,20,0.004334,-0.00013,-0.000113,-78.57645,24.480941,45.345972,80.924144,-1.172426,-0.000033,-4.600221,-0.25024,0.01559,0.300947,0.000041,0.000158,0.000113,/home/martin/data/v2/filtered/307_r_img_blc.ppm,/home/martin/data/v2/filtered/307_l_img_blc.ppm
266,308,-2.676176,16.749407,20,0.004334,-0.00013,-0.000113,-94.187442,23.443743,69.616404,74.175049,0.133692,-2.005064,0.630675,-0.247774,-0.02705,0.301471,0.000001,0.000001,0.000001,/home/martin/data/v2/filtered/308_r_img_blc.ppm,/home/martin/data/v2/filtered/308_l_img_blc.ppm
267,309,-10.027902,-8.62667,20,0.004334,-0.00013,-0.000113,-94.187442,23.443743,69.616404,74.175049,0.133692,-2.005064,0.630675,-0.247774,-0.02705,0.301471,0.000001,0.000001,0.000001,/home/martin/data/v2/filtered/309_r_img_blc.ppm,/home/martin/data/v2/filtered/309_l_img_blc.ppm
268,310,-16.697591,1.307654,20,0.004334,-0.00013,-0.000113,-94.187442,23.443743,69.616404,74.175049,0.133692,-2.005064,0.630675,-0.247774,-0.02705,0.301471,0.000001,0.000001,0.000001,/home/martin/data/v2/filtered/310_r_img_blc.ppm,/home/martin/data/v2/filtered/310_l_img_blc.ppm
269,311,-17.385434,-19.967584,20,0.004334,-0.00013,-0.000113,-94.187442,23.443743,69.616404,74.175049,0.133692,-2.005064,0.630675,-0.247774,-0.02705,0.301471,0.000001,0.000001,0.000001,/home/martin/data/v2/filtered/311_r_img_blc.ppm,/home/martin/data/v2/filtered/311_l_img_blc.ppm
270,312,8.457705,27.224578,20,0.004334,-0.00013,-0.000113,-80.674427,25.210365,28.277443,84.720112,-1.133003,0,-7.16661,-0.226363,0.070401,0.345642,0.000001,0.000002,0.000003,/home/martin/data/v2/filtered/312_r_img_blc.ppm,/home/martin/data/v2/filtered/312_l_img_blc.ppm
271,313,3.197318,-3.731063,20,0.004334,-0.00013,-0.000113,-80.674427,25.210365,28.277443,84.720112,-1.133003,0,-7.16661,-0.226363,0.070401,0.345642,0.000001,0.000002,0.000003,/home/martin/data/v2/filtered/313_r_img_blc.ppm,/home/martin/data/v2/filtered/313_l_img_blc.ppm
272,314,-0.080785,27.93351,20,0.004334,-0.00013,-0.000113,-80.674427,25.210365,28.277443,84.720112,-1.133003,0,-7.16661,-0.226363,0.070401,0.345642,0.000001,0.000002,0.000003,/home/martin/data/v2/filtered/314_r_img_blc.ppm,/home/martin/data/v2/filtered/314_l_img_blc.ppm
273,315,-15.880802,23.026913,20,0.004334,-0.00013,-0.000113,-80.674427,25.210365,28.277443,84.720112,-1.133003,0,-7.16661,-0.226363,0.070401,0.345642,0.000001,0.000002,0.000003,/home/martin/data/v2/filtered/315_r_img_blc.ppm,/home/martin/data/v2/filtered/315_l_img_blc.ppm
274,316,-6.33451,21.814184,20,0.004334,0.00013,0.000113,-76.5898,24.617873,42.141754,82.464842,-0.946608,0,-5.370732,-0.248824,0.022917,0.301247,0,0.000001,0.000001,/home/martin/data/v2/filtered/316_r_img_blc.ppm,/home/martin/data/v2/filtered/316_l_img_blc.ppm
